[19:26:24] [ERR] Failed to check the state of sock (session id: 07c89cbf-b381-4539-8429-81a2e0c619da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:34:00] [ERR] Failed to check the state of sock (session id: 7fb7704c-9f5c-4b65-b8bf-760a4977976e, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:34:10] [ERR] Failed to check the state of sock (session id: 7fb7704c-9f5c-4b65-b8bf-760a4977976e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:34:20] [ERR] Failed to check the state of sock (session id: 7fb7704c-9f5c-4b65-b8bf-760a4977976e, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:34:30] [ERR] Failed to check the state of sock (session id: 7fb7704c-9f5c-4b65-b8bf-760a4977976e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:35:42] [ERR] Failed to check the state of sock (session id: 496316c7-0430-44f7-a229-79a9f06ef5d2, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:35:52] [ERR] Failed to check the state of sock (session id: 496316c7-0430-44f7-a229-79a9f06ef5d2, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:36:02] [ERR] Failed to check the state of sock (session id: 496316c7-0430-44f7-a229-79a9f06ef5d2, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:36:12] [ERR] Failed to check the state of sock (session id: 496316c7-0430-44f7-a229-79a9f06ef5d2, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:36:22] [ERR] Failed to check the state of sock (session id: 496316c7-0430-44f7-a229-79a9f06ef5d2, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:37:13] [ERR] Failed to check the state of sock (session id: 8925d21d-2ea9-4fb9-8215-dc5139bd563a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:37:23] [ERR] Failed to check the state of sock (session id: 8925d21d-2ea9-4fb9-8215-dc5139bd563a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:37:33] [ERR] Failed to check the state of sock (session id: 8925d21d-2ea9-4fb9-8215-dc5139bd563a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:37:43] [ERR] Failed to check the state of sock (session id: 8925d21d-2ea9-4fb9-8215-dc5139bd563a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:37:53] [ERR] Failed to check the state of sock (session id: 8925d21d-2ea9-4fb9-8215-dc5139bd563a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:39:24] [ERR] Failed to check the state of sock (session id: 8944f503-2891-407f-8157-c5f6387fbecb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:39:34] [ERR] Failed to check the state of sock (session id: 8944f503-2891-407f-8157-c5f6387fbecb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:39:44] [ERR] Failed to check the state of sock (session id: 8944f503-2891-407f-8157-c5f6387fbecb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:39:54] [ERR] Failed to check the state of sock (session id: 8944f503-2891-407f-8157-c5f6387fbecb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:40:04] [ERR] Failed to check the state of sock (session id: 8944f503-2891-407f-8157-c5f6387fbecb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:41:05] [ERR] Failed to check the state of sock (session id: 0c3adf78-d5d3-406c-beb2-99afd6423af4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:41:15] [ERR] Failed to check the state of sock (session id: 0c3adf78-d5d3-406c-beb2-99afd6423af4, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:41:25] [ERR] Failed to check the state of sock (session id: 0c3adf78-d5d3-406c-beb2-99afd6423af4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:41:35] [ERR] Failed to check the state of sock (session id: 0c3adf78-d5d3-406c-beb2-99afd6423af4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:41:45] [ERR] Failed to check the state of sock (session id: 0c3adf78-d5d3-406c-beb2-99afd6423af4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:42:47] [ERR] Failed to check the state of sock (session id: c9aa756b-b819-4203-9a9d-d9b4db65ce43, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:42:57] [ERR] Failed to check the state of sock (session id: c9aa756b-b819-4203-9a9d-d9b4db65ce43, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:43:07] [ERR] Failed to check the state of sock (session id: c9aa756b-b819-4203-9a9d-d9b4db65ce43, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:43:17] [ERR] Failed to check the state of sock (session id: c9aa756b-b819-4203-9a9d-d9b4db65ce43, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:43:27] [ERR] Failed to check the state of sock (session id: c9aa756b-b819-4203-9a9d-d9b4db65ce43, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:44:48] [ERR] Failed to check the state of sock (session id: ece6ce2d-529e-438c-b1f0-cdec1b8f1eec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:44:58] [ERR] Failed to check the state of sock (session id: ece6ce2d-529e-438c-b1f0-cdec1b8f1eec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:45:08] [ERR] Failed to check the state of sock (session id: ece6ce2d-529e-438c-b1f0-cdec1b8f1eec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:45:18] [ERR] Failed to check the state of sock (session id: ece6ce2d-529e-438c-b1f0-cdec1b8f1eec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:45:28] [ERR] Failed to check the state of sock (session id: ece6ce2d-529e-438c-b1f0-cdec1b8f1eec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:46:50] [ERR] Failed to check the state of sock (session id: 92c2291a-069d-4f55-856a-086cdec81838, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:47:00] [ERR] Failed to check the state of sock (session id: 92c2291a-069d-4f55-856a-086cdec81838, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:47:10] [ERR] Failed to check the state of sock (session id: 92c2291a-069d-4f55-856a-086cdec81838, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:47:20] [ERR] Failed to check the state of sock (session id: 92c2291a-069d-4f55-856a-086cdec81838, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:47:30] [ERR] Failed to check the state of sock (session id: 92c2291a-069d-4f55-856a-086cdec81838, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:48:41] [ERR] Failed to check the state of sock (session id: 9a5a79ae-9ade-4233-a0b9-f588489445bf, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:48:51] [ERR] Failed to check the state of sock (session id: 9a5a79ae-9ade-4233-a0b9-f588489445bf, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:49:01] [ERR] Failed to check the state of sock (session id: 9a5a79ae-9ade-4233-a0b9-f588489445bf, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:49:11] [ERR] Failed to check the state of sock (session id: 9a5a79ae-9ade-4233-a0b9-f588489445bf, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:49:21] [ERR] Failed to check the state of sock (session id: 9a5a79ae-9ade-4233-a0b9-f588489445bf, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:50:23] [ERR] Failed to check the state of sock (session id: b8c9ba88-1f38-465a-ac62-fe1a9c467638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:50:33] [ERR] Failed to check the state of sock (session id: b8c9ba88-1f38-465a-ac62-fe1a9c467638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:50:43] [ERR] Failed to check the state of sock (session id: b8c9ba88-1f38-465a-ac62-fe1a9c467638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:50:53] [ERR] Failed to check the state of sock (session id: b8c9ba88-1f38-465a-ac62-fe1a9c467638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:51:03] [ERR] Failed to check the state of sock (session id: b8c9ba88-1f38-465a-ac62-fe1a9c467638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:52:05] [ERR] Failed to check the state of sock (session id: c542c063-dabe-447d-a325-f3fa1426e04c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:52:15] [ERR] Failed to check the state of sock (session id: c542c063-dabe-447d-a325-f3fa1426e04c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:52:25] [ERR] Failed to check the state of sock (session id: c542c063-dabe-447d-a325-f3fa1426e04c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:52:35] [ERR] Failed to check the state of sock (session id: c542c063-dabe-447d-a325-f3fa1426e04c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:52:45] [ERR] Failed to check the state of sock (session id: c542c063-dabe-447d-a325-f3fa1426e04c, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:53:46] [ERR] Failed to check the state of sock (session id: 97ff3f60-15d0-41a8-8e09-10348459a884, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:53:56] [ERR] Failed to check the state of sock (session id: 97ff3f60-15d0-41a8-8e09-10348459a884, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:54:06] [ERR] Failed to check the state of sock (session id: 97ff3f60-15d0-41a8-8e09-10348459a884, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:54:16] [ERR] Failed to check the state of sock (session id: 97ff3f60-15d0-41a8-8e09-10348459a884, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:54:26] [ERR] Failed to check the state of sock (session id: 97ff3f60-15d0-41a8-8e09-10348459a884, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:55:17] [ERR] Failed to check the state of sock (session id: d8fc53c2-22d4-4dae-a66a-52fc6e1ceed7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:55:27] [ERR] Failed to check the state of sock (session id: d8fc53c2-22d4-4dae-a66a-52fc6e1ceed7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:55:37] [ERR] Failed to check the state of sock (session id: d8fc53c2-22d4-4dae-a66a-52fc6e1ceed7, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:55:47] [ERR] Failed to check the state of sock (session id: d8fc53c2-22d4-4dae-a66a-52fc6e1ceed7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:55:57] [ERR] Failed to check the state of sock (session id: d8fc53c2-22d4-4dae-a66a-52fc6e1ceed7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:57:00] [ERR] Failed to check the state of sock (session id: 3ca29e3d-c424-4150-87dd-8dce2e081c13, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:57:09] [ERR] Failed to check the state of sock (session id: 3ca29e3d-c424-4150-87dd-8dce2e081c13, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:57:19] [ERR] Failed to check the state of sock (session id: 3ca29e3d-c424-4150-87dd-8dce2e081c13, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:57:29] [ERR] Failed to check the state of sock (session id: 3ca29e3d-c424-4150-87dd-8dce2e081c13, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:57:39] [ERR] Failed to check the state of sock (session id: 3ca29e3d-c424-4150-87dd-8dce2e081c13, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:58:40] [ERR] Failed to check the state of sock (session id: 152e4350-73e5-444a-90b9-8c01c3fe2adb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:58:50] [ERR] Failed to check the state of sock (session id: 152e4350-73e5-444a-90b9-8c01c3fe2adb, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:59:00] [ERR] Failed to check the state of sock (session id: 152e4350-73e5-444a-90b9-8c01c3fe2adb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:59:10] [ERR] Failed to check the state of sock (session id: 152e4350-73e5-444a-90b9-8c01c3fe2adb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:59:20] [ERR] Failed to check the state of sock (session id: 152e4350-73e5-444a-90b9-8c01c3fe2adb, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:00:22] [ERR] Failed to check the state of sock (session id: 897d56b9-96d5-41dd-96ba-2c67d3bbafba, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:00:32] [ERR] Failed to check the state of sock (session id: 897d56b9-96d5-41dd-96ba-2c67d3bbafba, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:00:42] [ERR] Failed to check the state of sock (session id: 897d56b9-96d5-41dd-96ba-2c67d3bbafba, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:00:52] [ERR] Failed to check the state of sock (session id: 897d56b9-96d5-41dd-96ba-2c67d3bbafba, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:01:02] [ERR] Failed to check the state of sock (session id: 897d56b9-96d5-41dd-96ba-2c67d3bbafba, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:02:03] [ERR] Failed to check the state of sock (session id: 21ca5adc-05ae-4da5-afe1-7bf75dc6861e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:02:13] [ERR] Failed to check the state of sock (session id: 21ca5adc-05ae-4da5-afe1-7bf75dc6861e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:02:23] [ERR] Failed to check the state of sock (session id: 21ca5adc-05ae-4da5-afe1-7bf75dc6861e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:02:33] [ERR] Failed to check the state of sock (session id: 21ca5adc-05ae-4da5-afe1-7bf75dc6861e, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:02:43] [ERR] Failed to check the state of sock (session id: 21ca5adc-05ae-4da5-afe1-7bf75dc6861e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:03:34] [ERR] Failed to check the state of sock (session id: 84cd9b26-500e-44bf-9403-08a01b614fc4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:03:44] [ERR] Failed to check the state of sock (session id: 84cd9b26-500e-44bf-9403-08a01b614fc4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:03:54] [ERR] Failed to check the state of sock (session id: 84cd9b26-500e-44bf-9403-08a01b614fc4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:04:04] [ERR] Failed to check the state of sock (session id: 84cd9b26-500e-44bf-9403-08a01b614fc4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:04:14] [ERR] Failed to check the state of sock (session id: 84cd9b26-500e-44bf-9403-08a01b614fc4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:05:15] [ERR] Failed to check the state of sock (session id: 3a973c9d-ec31-43e6-bd66-a4d7aa525665, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:05:25] [ERR] Failed to check the state of sock (session id: 3a973c9d-ec31-43e6-bd66-a4d7aa525665, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:05:35] [ERR] Failed to check the state of sock (session id: 3a973c9d-ec31-43e6-bd66-a4d7aa525665, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:05:45] [ERR] Failed to check the state of sock (session id: 3a973c9d-ec31-43e6-bd66-a4d7aa525665, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:05:55] [ERR] Failed to check the state of sock (session id: 3a973c9d-ec31-43e6-bd66-a4d7aa525665, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:07:16] [ERR] Failed to check the state of sock (session id: 77a25c14-9396-42dd-a299-ed4e23c8da5a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:07:26] [ERR] Failed to check the state of sock (session id: 77a25c14-9396-42dd-a299-ed4e23c8da5a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:07:36] [ERR] Failed to check the state of sock (session id: 77a25c14-9396-42dd-a299-ed4e23c8da5a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:07:46] [ERR] Failed to check the state of sock (session id: 77a25c14-9396-42dd-a299-ed4e23c8da5a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:07:56] [ERR] Failed to check the state of sock (session id: 77a25c14-9396-42dd-a299-ed4e23c8da5a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:08:58] [ERR] Failed to check the state of sock (session id: 3a9884b6-7c2e-4ca9-a506-ed3d32ddbce0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:09:08] [ERR] Failed to check the state of sock (session id: 3a9884b6-7c2e-4ca9-a506-ed3d32ddbce0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:09:18] [ERR] Failed to check the state of sock (session id: 3a9884b6-7c2e-4ca9-a506-ed3d32ddbce0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:09:28] [ERR] Failed to check the state of sock (session id: 3a9884b6-7c2e-4ca9-a506-ed3d32ddbce0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:09:38] [ERR] Failed to check the state of sock (session id: 3a9884b6-7c2e-4ca9-a506-ed3d32ddbce0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:10:59] [ERR] Failed to check the state of sock (session id: 512cba67-9aca-4f58-9b43-be397051a141, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:11:09] [ERR] Failed to check the state of sock (session id: 512cba67-9aca-4f58-9b43-be397051a141, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:11:19] [ERR] Failed to check the state of sock (session id: 512cba67-9aca-4f58-9b43-be397051a141, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:11:29] [ERR] Failed to check the state of sock (session id: 512cba67-9aca-4f58-9b43-be397051a141, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:11:39] [ERR] Failed to check the state of sock (session id: 512cba67-9aca-4f58-9b43-be397051a141, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:12:40] [ERR] Failed to check the state of sock (session id: ff4f81c9-9836-4a4a-b3c2-3c67e7d2d4ee, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:12:50] [ERR] Failed to check the state of sock (session id: ff4f81c9-9836-4a4a-b3c2-3c67e7d2d4ee, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:13:00] [ERR] Failed to check the state of sock (session id: ff4f81c9-9836-4a4a-b3c2-3c67e7d2d4ee, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:13:10] [ERR] Failed to check the state of sock (session id: ff4f81c9-9836-4a4a-b3c2-3c67e7d2d4ee, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:13:20] [ERR] Failed to check the state of sock (session id: ff4f81c9-9836-4a4a-b3c2-3c67e7d2d4ee, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:14:21] [ERR] Failed to check the state of sock (session id: 371262e8-d851-4371-9aa1-5b18265ca54d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:14:31] [ERR] Failed to check the state of sock (session id: 371262e8-d851-4371-9aa1-5b18265ca54d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:14:41] [ERR] Failed to check the state of sock (session id: 371262e8-d851-4371-9aa1-5b18265ca54d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:14:51] [ERR] Failed to check the state of sock (session id: 371262e8-d851-4371-9aa1-5b18265ca54d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:15:01] [ERR] Failed to check the state of sock (session id: 371262e8-d851-4371-9aa1-5b18265ca54d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:16:03] [ERR] Failed to check the state of sock (session id: 398a648f-a550-4f4f-93f8-93291ed6d826, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:16:13] [ERR] Failed to check the state of sock (session id: 398a648f-a550-4f4f-93f8-93291ed6d826, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:16:23] [ERR] Failed to check the state of sock (session id: 398a648f-a550-4f4f-93f8-93291ed6d826, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:16:33] [ERR] Failed to check the state of sock (session id: 398a648f-a550-4f4f-93f8-93291ed6d826, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:16:43] [ERR] Failed to check the state of sock (session id: 398a648f-a550-4f4f-93f8-93291ed6d826, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:17:44] [ERR] Failed to check the state of sock (session id: cc1b742c-fa76-4ee8-a84e-aa89b536de6d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:17:54] [ERR] Failed to check the state of sock (session id: cc1b742c-fa76-4ee8-a84e-aa89b536de6d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:18:04] [ERR] Failed to check the state of sock (session id: cc1b742c-fa76-4ee8-a84e-aa89b536de6d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:18:14] [ERR] Failed to check the state of sock (session id: cc1b742c-fa76-4ee8-a84e-aa89b536de6d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:18:24] [ERR] Failed to check the state of sock (session id: cc1b742c-fa76-4ee8-a84e-aa89b536de6d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:19:45] [ERR] Failed to check the state of sock (session id: f8411a92-5786-4677-8dd0-ab80f649b8b3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
